"Name","DisplayName","State","StartMode","ProcessId"
"ShellHWDetection","Shell Hardware Detection","Running","Auto","4912"
"shpamsvc","Shared PC Account Manager","Stopped","Disabled","0"
"smphost","Microsoft Storage Spaces SMP","Running","Manual","29136"
"SmsRouter","Microsoft Windows SMS Router Service.","Stopped","Manual","0"
"SNMPTrap","SNMP Trap","Stopped","Manual","0"
"Spooler","Print Spooler","Running","Auto","3772"
"sppsvc","Software Protection","Stopped","Auto","0"
"SSDPSRV","SSDP Discovery","Running","Manual","21700"
"ssh-agent","OpenSSH Authentication Agent","Stopped","Disabled","0"
"SstpSvc","Secure Socket Tunneling Protocol Service","Running","Manual","18864"
"StateRepository","State Repository Service","Running","Auto","4464"
"StiSvc","Windows Image Acquisition (WIA)","Stopped","Manual","0"
"StorSvc","Storage Service","Running","Auto","17312"
"SupportAssistAgent","Dell SupportAssist","Running","Auto","5964"
"svsvc","Spot Verifier","Stopped","Manual","0"
"swprv","Microsoft Software Shadow Copy Provider","Stopped","Manual","0"
"SysMain","SysMain","Running","Auto","3792"
"SystemEventsBroker","System Events Broker","Running","Auto","1380"
"SystemUsageReportSvc_QUEENCREEK","Intel(R) System Usage Report Service SystemUsageReportSvc_QUEENCREEK","Running","Auto","6020"
"TapiSrv","Telephony","Stopped","Manual","0"
"TeamViewer","TeamViewer","Running","Auto","6428"
"TermService","Remote Desktop Services","Running","Manual","1768"
"TextInputManagementService","Text Input Management Service","Running","Auto","4292"
"Themes","Themes","Running","Auto","3800"
"TieringEngineService","Storage Tiers Management","Stopped","Manual","0"
"TimeBrokerSvc","Time Broker","Running","Manual","2164"
"TokenBroker","Web Account Manager","Running","Manual","8664"
"TrkWks","Distributed Link Tracking Client","Running","Auto","6252"
"TroubleshootingSvc","Recommended Troubleshooting Service","Stopped","Manual","0"
"TrustedInstaller","Windows Modules Installer","Stopped","Manual","0"
"tzautoupdate","Auto Time Zone Updater","Stopped","Disabled","0"
"UevAgentService","User Experience Virtualization Service","Stopped","Disabled","0"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Running","Manual","2696"
"upnphost","UPnP Device Host","Stopped","Manual","0"
"UserManager","User Manager","Running","Auto","3044"
"USER_ESRV_SVC_QUEENCREEK","User Energy Server Service queencreek","Stopped","Manual","0"
"UsoSvc","Update Orchestrator Service","Running","Auto","16460"
"VaultSvc","Credential Manager","Running","Manual","1240"
"vds","Virtual Disk","Stopped","Manual","0"
"vmicguestinterface","Hyper-V Guest Service Interface","Stopped","Manual","0"
"vmicheartbeat","Hyper-V Heartbeat Service","Stopped","Manual","0"
"vmickvpexchange","Hyper-V Data Exchange Service","Stopped","Manual","0"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service","Stopped","Manual","0"
"vmicshutdown","Hyper-V Guest Shutdown Service","Stopped","Manual","0"
"vmictimesync","Hyper-V Time Synchronization Service","Stopped","Manual","0"
"vmicvmsession","Hyper-V PowerShell Direct Service","Stopped","Manual","0"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Stopped","Manual","0"
"VSS","Volume Shadow Copy","Stopped","Manual","0"
"W32Time","Windows Time","Running","Auto","1840"
"WaaSMedicSvc","WaaSMedicSvc","Stopped","Manual","0"
"WalletService","WalletService","Stopped","Manual","0"
"WarpJITSvc","Warp JIT Service","Stopped","Manual","0"
"WavesSysSvc","Waves Audio Services","Running","Auto","6236"
"wbengine","Block Level Backup Engine Service","Stopped","Manual","0"
"WbioSrvc","Windows Biometric Service","Stopped","Auto","0"
"Wcmsvc","Windows Connection Manager","Running","Auto","2928"
"wcncsvc","Windows Connect Now - Config Registrar","Stopped","Manual","0"
"WdiServiceHost","Diagnostic Service Host","Stopped","Manual","0"
"WdiSystemHost","Diagnostic System Host","Stopped","Manual","0"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","Running","Manual","10772"
"WebClient","WebClient","Stopped","Manual","0"
"webthreatdefsvc","Web Threat Defense Service","Running","Manual","12056"
"Wecsvc","Windows Event Collector","Stopped","Manual","0"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Stopped","Manual","0"
"wercplsupport","Problem Reports Control Panel Support","Stopped","Manual","0"
"WerSvc","Windows Error Reporting Service","Stopped","Manual","0"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","Stopped","Manual","0"
"whesvc","Windows Health and Optimized Experiences","Running","Auto","16604"
"WiaRpc","Still Image Acquisition Events","Stopped","Manual","0"
"WinDefend","Microsoft Defender Antivirus Service","Running","Auto","6276"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Running","Manual","2492"
"Winmgmt","Windows Management Instrumentation","Running","Auto","5172"
"WinRM","Windows Remote Management (WS-Management)","Running","Auto","23676"
"wisvc","Windows Insider Service","Stopped","Manual","0"
"WlanSvc","WLAN AutoConfig","Running","Auto","4832"
"wlidsvc","Microsoft Account Sign-in Assistant","Stopped","Manual","0"
"wlpasvc","Local Profile Assistant Service","Stopped","Manual","0"
"WManSvc","Windows Management Service","Stopped","Manual","0"
"wmiApSrv","WMI Performance Adapter","Stopped","Manual","0"
"WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration","Running","Auto","6244"
"WMPNetworkSvc","Windows Media Player Network Sharing Service","Stopped","Manual","0"
"workfolderssvc","Work Folders","Stopped","Manual","0"
"WpcMonSvc","Parental Controls","Stopped","Manual","0"
"WPDBusEnum","Portable Device Enumerator Service","Stopped","Manual","0"
"WpnService","Windows Push Notifications System Service","Running","Auto","6268"
"WSAIFabricSvc","WSAIFabricSvc","Running","Auto","9872"
"wscsvc","Security Center","Running","Auto","23828"
"WSearch","Windows Search","Running","Auto","10624"
"wuauserv","Windows Update","Stopped","Auto","0"
"wuqisvc","Microsoft Usage and Quality Insights","Running","Manual","21524"
"WwanSvc","WWAN AutoConfig","Stopped","Manual","0"
"XblAuthManager","Xbox Live Auth Manager","Stopped","Manual","0"
"XblGameSave","Xbox Live Game Save","Stopped","Manual","0"
"XboxGipSvc","Xbox Accessory Management Service","Stopped","Manual","0"
"XboxNetApiSvc","Xbox Live Networking Service","Stopped","Manual","0"
"AarSvc_b63b5a2","Agent Activation Runtime_b63b5a2","Stopped","Manual","0"
"BcastDVRUserService_b63b5a2","GameDVR and Broadcast User Service_b63b5a2","Stopped","Manual","0"
"BluetoothUserService_b63b5a2","Bluetooth User Support Service_b63b5a2","Running","Manual","28688"
"CaptureService_b63b5a2","CaptureService_b63b5a2","Stopped","Manual","0"
"cbdhsvc_b63b5a2","Clipboard User Service_b63b5a2","Running","Auto","26432"
"CDPUserSvc_b63b5a2","Connected Devices Platform User Service_b63b5a2","Running","Auto","8684"
"CloudBackupRestoreSvc_b63b5a2","Cloud Backup and Restore Service_b63b5a2","Stopped","Manual","0"
"ConsentUxUserSvc_b63b5a2","ConsentUX User Service_b63b5a2","Stopped","Manual","0"
"CredentialEnrollmentManagerUserSvc_b63b5a2","CredentialEnrollmentManagerUserSvc_b63b5a2","Stopped","Manual","0"
"DeviceAssociationBrokerSvc_b63b5a2","DeviceAssociationBroker_b63b5a2","Stopped","Manual","0"
"DevicePickerUserSvc_b63b5a2","DevicePicker_b63b5a2","Stopped","Manual","0"
"DevicesFlowUserSvc_b63b5a2","DevicesFlow_b63b5a2","Running","Manual","15984"
"MessagingService_b63b5a2","MessagingService_b63b5a2","Stopped","Manual","0"
"NPSMSvc_b63b5a2","Now Playing Session Manager Service_b63b5a2","Running","Manual","23800"
"OneSyncSvc_b63b5a2","Sync Host_b63b5a2","Running","Auto","11992"
"P9RdrService_b63b5a2","P9RdrService_b63b5a2","Stopped","Manual","0"
"PenService_b63b5a2","PenService_b63b5a2","Stopped","Manual","0"
"PimIndexMaintenanceSvc_b63b5a2","Contact Data_b63b5a2","Stopped","Manual","0"
"PrintWorkflowUserSvc_b63b5a2","PrintWorkflow_b63b5a2","Stopped","Manual","0"
"UdkUserSvc_b63b5a2","Udk User Service_b63b5a2","Running","Manual","5764"
"UnistoreSvc_b63b5a2","User Data Storage_b63b5a2","Stopped","Manual","0"
"UserDataSvc_b63b5a2","User Data Access_b63b5a2","Stopped","Manual","0"
"webthreatdefusersvc_b63b5a2","Web Threat Defense User Service_b63b5a2","Running","Auto","26372"
"WpnUserService_b63b5a2","Windows Push Notifications User Service_b63b5a2","Running","Auto","15132"
